text,label,gru_pred,cnn_pred,bert_pred
@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German. ,0,1,0,1
@mabster You know he's cackling at your conundrum during the ad breaks? ,1,1,1,0
i need to find places to meet people ,0,0,0,0
Good morning yall ,1,1,1,1
And they just served lunch on the train...I miss out :s listening to the eskies tho ,1,0,0,0
Supposed to be at a driving lesson but I must have got the time wrong  Today is going to be Roundabouts for an hour straight... fun  #fb,0,1,0,0
listening to all time low ,1,1,1,0
I'm in school and it sucks ,0,0,0,0
@miiineee_ WHY DID YOU DELETE YOUR HA ACCOUNT ,0,1,1,0
@oPHo its because we actually care about our appearance in the here and now AND in the future  preventative maintenance lol,1,1,1,0
@fudder thanks for stopping by at @OXID_eSales headquarters today. Very much looking forward to our future projects! speak to you soon ,1,1,1,1
"thinks today will be long, but rewarding  2 more days until A.J.'s wedding!",1,1,1,1
@poor_dog wow wow lovely postcard ,1,1,1,1
@emoisforluvers I hope you have fun at Trek ,1,1,1,1
watching lion king mufasa just died ,0,0,0,1
CAN'T WAIT FOR DEMIS NEW ALBUM!!!!   ,1,1,1,1
"@imgiseverything cool, will give it a go i think then ",1,1,1,1
"@briaaaa: ha, me either! ilysoulm8. ",1,1,1,1
is wide awake at 630 AM. With major heartburn. ,0,0,1,0
Not happy Bath just lost 3 of their best players ,0,0,0,1
@lovemacyleigh how did it go? ,1,1,1,1
DAVID ARCHULETA! you ROCK! i LOVE you sooo much! you're concert was soooo fun! ,1,1,1,1
"@ThisIsChrisR lol...yea at least it's not just Chris...but this IS Chris...like if u don't know, now u know ",1,0,1,0
"How do I find out what style of glasses will suit my face, my personality AND my work environtment? Blergh, I need a glasses guide. ",0,0,0,0
Dropped Abby off about 12 hours ago. I already miss her ,0,0,0,0
Still at work. 11 to 930 Sundays blows. I begged to leave but it appears ill be watching the Tonys from chez pit ,0,0,0,0
"And yes. I did miss you, Jon.  I wish you were here.",0,0,0,1
@theloveofpink awwwwwwwwww  your poor mama. I understand xx,0,0,0,0
@MY_Name_is_Leah your pic is suuuuuper cute!!! I just wanna pinch his wittle cheeks ,1,1,1,0
I want a baaaaasssssssss... ,0,0,0,0
"@Franklero surely not... but I didnt watch, so i can be neither for nor against you... so you can count me on your side ",1,0,0,0
"has made custard, but it is runny. ",0,1,1,0
it's hot. and Milo is gone. and i'm sad. ,0,0,0,0
@princesspixel i had to request it! i was so confused about it the first time i thought doing it again might help. it didn't ,0,0,1,0
"@JuliaGoolia Absolutely, just hit me with what you prefer hon!  ",1,1,1,1
is at school and so sick....i thought i escaped getting a cold ,0,0,0,0
@Dark_Secrets. It looks great!  Can't wait to write more posts for it. The plot's so much fun already!  ,1,1,1,0
@TiksHI: hehehe buy the makeup n perfume every girl deserves 2 look beautiful n smell delicious ,1,1,1,0
"@Kiba311 Hey Boo, I missed your Blog/Notes on FB: Tear  I used to get the Tag/Shout Out! Imma Need you To Send Sum TWit Luv: LOL",0,1,0,0
"@Soph_Ichigo She tried to carry on aswell, bless, I suppose maybe that's why kids shouldn't be in it? ",0,0,0,0
Wow. That concert was uh-mazing! Wow. Taylor Swift is so amazing and talented. She put on such an awesome show! Wow&quot; ,1,1,1,1
@aanjelicaa91 lolz. Having fun yet? I'm so bored ,0,0,1,0
Yay im happy ash had fun at the prom. Can't wait to see the pics. N yes im mad lol  _XOXO! ,1,1,1,0
"@pacoblue   I don't take naps often. Usually can't actually sleep, but loved the article!  I'll have to start practicing! ;-)",1,1,1,0
http://twitpic.com/4ikmn - back in uk waiting for lazy Gatwick night staff! luggage please ,0,1,1,0
i'm not feeling well. ,0,0,0,1
@eak984 I'll take your advice under serious consideration. ,1,1,1,0
@britneyspears i cant wait to come see you on the 20th...im bringing my sis as her wedding gift ,1,1,1,0
@dbeltra eww.. and ouch.. ,0,0,1,0
@verwon LOL.  Tons of spam is my prediction,1,1,1,0
@rachelburks all this TMI is HIGH-larious. So glad I signed up for you and Zack's tweets...I'm updating the office with your vag updates. ,1,1,1,0
@stefanosings ok you win. sorry ,0,1,1,1
@Kenny_Wallace I'll be there in August!  Infield. 5 days. Yeahhhh!!!!!!!,1,1,1,0
@fitbet So very true - I never have I day where I look back and think...&quot;I wish&quot;.    Hope you have a wonderful day!!!,1,1,1,1
@susysu  Owns Leeds?  Wow!  You gotta lock that down!  ,1,1,1,1
Ahhh trip to this wedding is gonna be boring now ,0,0,0,0
"I got home to a post it note from the roomie saying internet is down cox guy is coming tomorrow. Umm, that's a negative! Problem fixed. ",1,0,0,0
Welcome everyone ! it's the official Pydza Twitter timeline ,1,1,1,1
#suckmyhypotheticalballs  is killing my sidebar  #suckmyhypotheticalballs,1,0,0,0
Official Senior here. ,1,1,1,0
"@karlalu hey, follow me too if you can  blackhoodie.tumblr,com. i post some non-mushy stuff there hehe",1,1,1,0
@BigCityDiner we still love you!  we still on for tomorrow right?,1,0,1,1
"@grahamkeen @kierondonoghue this would be my guess also, was hard to work out, next time more of a clue please ",1,0,0,1
"Anyway, I HaVe A hEaDaChE  ",1,0,0,0
I didn't get the phonecall  what about nokia 97 tho hhhmmmmmm....everyone's asleep in my household except me!,0,0,0,0
@randomus_r @aceofsabres @RuthGarrity cheers ,1,1,1,1
@damohopo  #ceavagebarrometer showing poor weather for the Nprth East. ,0,0,0,0
@sarahgb Have you seen the one baked in the loaf that @danpalmer65 just posted up? I think I'm off pre-prepared food for good now ,0,1,1,0
bt deee...cant go home earlier ,0,0,0,1
oh oh 1 minute to go. c'mon everton. make wonder happen!! can't let chelsea win ,0,0,0,0
calling SJ right now.. no one's picking up! ,0,1,1,1
@applewonton thanks for the ride tonight! We gotta hang... I definitely need a girls night ,1,1,1,1
New Article on my blog ,1,1,1,0
I need to shower. I wish I couldve went to ub ,0,0,0,0
the directions failed me. came home from my chipotle search empty handed. ,0,0,0,0
My Big Sister Is Going To Chi-Town  ,0,1,1,1
Getting ready for the first dinner party at the condo! The BFF is coming with her guy to have dinner with me and my guy! ,1,1,1,1
"So i am drunk...and as much as i want to hate him, i know deep down inside that i love him.  ",0,0,0,0
@bcchan98 thanks brandon  http://myloc.me/2VO9,1,1,1,1
@jesus_iscomin  Maybe I am being judgemental and it was everything they wanted?,0,1,1,1
"@WhatsUpGuru Yeah, I hired some guy named Lenny to tend to the rabbits this year. ",1,1,1,1
"@celientje_ Ok is goed sjatje :-p I need an outfit for tomorrow so help me out,A'dam was bleeee  sjiejesjo kussie",0,0,1,0
"@iamdiddy hey that link u put up-there's something missin, cuz it's not a link ",0,0,1,0
NYC to move my Anna in for the Summer...Gonna miss herrrr ,0,0,0,1
awful weekend )': the worst. but i cannot wait until augustttt   louissaaa flies over from canadaaaaa  yessss  x,1,0,0,0
Ok whose devices r running out of battery following #awaresg  I am on my bb bold n going flat lor.,1,1,1,0
4 hours &amp; 8 minutes left in this &quot;job&quot;  :-,0,0,1,0
"@dougiemcfly ooh Dougie, c'mon! The world loves you, don't worry about that. Your fans will never leave you! We love u so much you know ",1,1,1,0
I eat a delicious chocolate hummmm...   it's good goood,1,1,1,1
@Wale you never reply my tweets that makes me sad  lol,0,0,0,0
"Just made a lot of &quot;Pisang Aroma&quot;, but all waisted coz I bought the wrong Banana ",0,1,1,0
"@jennytornado If the rest of the Twitterverse is anything like me, they're here...maybe only half awake, but here! ",1,0,0,0
"Up way too early after the long haul from Brussels, but it was a good flight. Desert's a bit stormy today and sans soleil  Needing coffee!",0,1,1,0
i feel soo wierd w/o watching keeping up with the kardashians... it finished last week ,0,0,1,0
@PaulaDauncey Make that 21 retweets! ,1,1,1,0
"@MaggieStar967 try their dinners, favorite here little italian...linguine, garlic olio, shrimp and brocolli...I just eat salad these days ",0,1,1,1
@DesirNoir What is Disturbia babe? ,1,1,1,1
"@Tojosan Indeed! If we miss each other, we should get together sometime and hang out. ",1,0,0,0
I really really really really really really want Sims 3. Sadly there is the small matter of A Level revision thats getting in the way. ,0,0,0,0
"@guybrush0 I would, but there is no FTP access ",0,1,1,1
I can see it is getting darker outside.. Is it coming ?? ,1,0,1,0
The draft with @yourprettylife and @shahineezell cooooome!!  thanks,1,1,1,1
using SPF 50 is still yet not enough for sentosa.i become darker ,0,0,0,0
Gah - we've now crammed so much into Clover we're getting OutOfMemory exceptions ,0,0,0,0
"@NOTW88 yeh, i much prefer without ",0,0,1,0
Dinner. Having stupid noodles cause I can't even swallow without it hurting.. blahh. ,0,0,0,0
My babes is going to have to work all day! ,0,0,0,0
@mary_martin Just what we need - continued domination of animals. ,0,0,0,0
@GeekTwisT well yeah I guess   can I borrow it for a while?,0,1,1,1
its almost over  !!,0,1,1,1
Tomorrow is scarp spinning day. About time to spin my carding scraps. It will be a nice surprise ,1,1,1,1
@Street3 Good morning.  Nice to see you.  ,1,1,1,1
http://twitpic.com/6rwt7 - The Effects of alcohol ,1,1,1,1
Time to work ,0,0,1,0
@HelloKayley you should get an iPhone instead ,1,0,0,1
@illfollowyou ,0,1,1,1
I have to sell the motorcycle. I am so so sad ,0,0,0,0
So i just found out i'm not going to p.r to see my dad this summer ,0,1,0,0
bah!!! my wireshark doesn't work  can't see what Opera unite sends over the line... ,0,0,0,0
@hsabomilner I'm sorry  Any news from the US govt?  (And go ahead and throw a tantrum; I won't tell!),0,0,0,0
Finally home from work  Long day in the pharmacy... Now its time to start my three day weekend!,1,0,0,0
Get It!!!Thats for you 5421! ,1,1,1,0
@SakinaVania trueee. i like saturday better 2. sashaa ,1,0,1,0
"@dhollinger -- space shuttle, Star Trek, etc. I loved it. I never got the bricks to build anything fabulous, but I admire those who do. ",1,1,1,1
@LuluGodiva This video is not available in your country due to copyright restrictions ,0,0,0,0
@chrisrcook Since the demise of Woolworths it isn't easy to find reasonably priced pick n mix anywhere ,0,0,0,0
 . Sunday is over.,0,1,1,1
@SoFierce21 girl you not leaving it you just takin a Break from it...atleast it aint leavin you ,0,0,0,0
@theknickermafia think of them as little angels who recycle things to feed your earth... which feeds your herbs  (oh and fanky for ff) x,1,1,1,0
@natty182 Nat go on msn pls ,1,1,1,1
Aaaah! I hate school reports ,0,0,0,0
@jen14221 ahhh WaWa! I miss WaWa. I could go for some Diet Lemonade Tea right now... ,0,0,0,0
@pixiefae  no cute gurleh to talk to.. least i have my chicken burger with caulslaw now,0,1,1,0
@TheBeachGirl5 Plz reply 2 my last post!!! I have never had a @reply from a celeb it would make my day (or my year!!! lol)!!! ,1,1,1,0
@tsag86  So did u enjoy the movies?,1,1,1,1
had an awesome time at the concert tonight! Now I gotsta sleep for my first day at BCBG tomorrow!  ,1,1,1,1
am tired &amp; getting grumpy &amp; want to go home ,0,0,0,0
@MyZoetrope Oh! I adore your Home Sweet Home mini painting!  So cute!,1,1,1,0
"@agerstein the update was probably just for the us, i'm in europe ",0,0,1,1
@laydmaxix ....I'm going to have to get off soon!  I'm sad. hahaha,0,0,0,0
"@bobbyedner OMG, my heart just stopped lol. It's BOBBY! ",1,0,1,0
"@aaronkelly_ well not this weekend, ill be out of town. but the next is just dandy.  or the next. SOON is what im getting at ",1,0,1,0
@YoungQ Much love!!! Have a great show!! And sorry but I'm into Vanilla Stoli iced coffees tonight - so yummy! ,1,1,1,1
Walmart: hair dye and ice cream. ,1,1,1,1
"@mcflyharry @mcflyharry REPLY ME. PLEASE, LOVE U SO MUCH. REPLY ME JUST ONCE. Love u more than everything  BRAZIL ALREADY MISS MCFLY â¥ xx",0,0,0,1
Having a late dinner before going back to work very early tomorrow! Wish I was with my sweetheart instead of here! ...perchance to dream ,1,0,0,1
o.m.e. Sary rains in sta rosa. H0w to cr0ss the street? Gutom na ako.. ,0,0,0,0
@LAUR4T GOOD LUCK! I wanted to be there ,0,1,1,1
Some people saying on the net that UK release of OS 3.0 will now be 6pm  Dammit! Will be in work,0,0,0,0
"@srhackel LOVE weeds, so depressed mom doesn't have shotime this summer ",0,0,1,0
@KashadGray dude I want some FOOOOD  cheesy tots sound amazing &lt;3.,0,1,0,1
I just partially wrote a song. I have no musical talent but I realllyyy like it. anway watching night at the roxbury. goodnight ,1,1,1,0
@kiitenai That sucks.  Ranting can be a way to release stress. *huggles*,0,0,0,0
@elmdea just added your Life Symmetry site.  It represents so many of the things I'm interested in.  Past lives still dark to me ,1,0,1,0
I wonder why she's like that. I DON'T KNOW HER. lol. Judging me as if she knows me. She's PATHETIC. REALLY! LOL ,1,0,1,0
"A bird just died in my garden! It flew into a window, scaring me, then died!! ",0,0,0,0
HAAAAAAAAAAAAN I did not see it the traiiiiiiiiiiiiiiiiiiler :'( :'( I want a video pleaseeeeeeeeeeeeeee ,0,0,0,0
Dear god that was hard to do.Raw @clarkgirlcharm ,0,1,0,0
Going to watch a movie. Byee for now ,1,1,1,1
"@JulieBanderas D: Bravo, Your mom must be about 25 Smile. Love your style  Julie. I have a Julee too. Great Job. Kudos to your mom 2 ",1,1,1,1
"@liamBottom Ooo a manhunt liam, sounds fab  I dreamt of my wedding last night, and woke myself up laughing lol",1,1,1,0
Late night still at work virus issue hogging resources ,0,0,0,0
I'm feeling very nasaly today ,0,0,0,0
"@pm4girls tried to DM you about this, but can't cause you're not following me ",0,0,0,0
"@RosevilleRockLn Pretty darn good, I must admit. Wish I could share. ",1,0,0,0
@cindymcgregor And smile at them...because they'll wonder what you're up to. ,1,1,1,0
"@_kii_ Yes, but this hammer I think was much older than you... ",1,1,1,1
So tired. And not feeling well. Had an embarassing sick day ,0,0,0,0
@jessmess then you wouldn't know me.  I love you. We will get through this together.,0,1,1,0
@BrownGirlPundit i sm eating chicken n rice  i piked it up tho,0,1,1,0
Cross Edge is sitting in this apartment and I cannot play it   At least not for a few hours.,0,0,0,0
@chibialfa @jtug I have to say it's been a weird evening for me ,1,1,1,1
tweetinq via sidekick 08 -- nOt fOr lOnq miqht switch back tO my Other phOne tOmOrrOw ,1,0,0,1
"Ergh, I really need some hayfever tablets. I'm sure hayfever is a punishment for hating winter so much ",0,0,0,0
"I'm not getting one, stll have 4+ months remaining on contract  but might jailbreak and swap to a different carrier then. #o2fail",0,0,0,0
"@Health4UandPets LOL, I've got 3 dogs of my own who each try hogging all the attention, perhaps a steak dinner? ",1,1,1,0
woke up all early cause my tummy is so hungry  watched dirty love last night.. SO funny.,0,0,0,0
summer's almost here... I don't wanna leave school ,0,0,0,0
@jordanmarieh uuuh so saturday i have pepperdine graduation but after to celebrate your first day of freedom..pinkberry? then i leave ,0,0,1,1
I'm praying for her relationship with the LORD. That's the only way she will find happiness ,0,0,0,0
Now I have 101.8. This totally stinks! We have 2 youth going on missions Monday and today is their &quot;going away&quot; party at church! ,0,1,1,0
I FINALLY read the &quot;Penny: Keep Your Head Up&quot; comic! I was so sad at the end... ,0,0,0,0
ye baby! first software issue sorted! now for the next one. What a way to start the week ,1,0,1,0
Going to school. AGAIN. summer will never come ,0,0,0,0
GAH! I hate when parents control you :@ i really wanted to go out today! ! Sorry @JodieWanKenobie ,0,0,0,0
"Twitter, baby, keep me company until midnight, yes? ",1,1,1,1
@bunnyBISOUS so sorry but I guess it is NYC ,0,0,0,0
Getting mac fixed. Keyboard and mouse wont work ,0,0,0,0
@allieraebot r u sirous??? ur sick????? ,0,0,0,0
really tired and sad becuase my best friend emily is in the hospital tonight  she may get her appendix out,0,0,0,0
@Midgley  acting stuff ? re : Jenni- now I understand ,1,1,1,0
nothings impossible but many things are extremly unlikly ,1,1,1,0
No to Cleveland  but hope for a twug,0,0,1,1
is trying to find sum friends...lol...only hav 1 ,0,0,0,0
I'm in the mood of wearing a dress today ,1,1,0,0
it really does go fast ,0,0,0,1
@ajia P.S.S. - they can keep their pants... I don't want them! LOL! ,1,0,0,0
would rather have the heat than the MASSIVE and LOUD air con unit right next to me ,0,0,0,0
dont like it when people hate on some of my fav. people just cuz of their looks. makes me mad ,0,0,0,0
"Awesome weather tomorrow as well, might worth going to bed early. ",1,1,1,1
Malpensa airport... Back to ldn in a couple hours ,1,0,0,0
@tanujkakkar best of luck with it ,1,1,1,1
Can't wait for LVATT! and @ddlovato new album!!! JUNE 16 AND JULY 21st!!!!   (via @Teff95),1,1,1,1
@R33S LOL. No worries. I won't hold ya captive. The dingos that surround my house are just to keep bad people out! Like a moat. ,1,0,1,0
@TekkDave LOL it was epic pwnage but I had to go ,0,1,1,1
@prenvo probably. Tweetie was updated a week ago now for twitopocalypse and still apple haven't approved it ,0,0,0,0
!@#$ tomorrow's Monday ,0,1,1,1
"@alliYu I should have! I want Asian food, make me some. I'm coming over ",1,0,0,1
"@nadie20 i think im going to go durin thhe week asweel with @czob and @iyaitssuzanne if they want, 3 times may be my limit ",1,0,0,0
&quot;Grandpas funeral is on Friday not Thursday SAD ,0,0,0,0
@bobsd46 I'm beginning to fear that the FirstClass Mobile app is vaporware... An &quot;imminent&quot; release has been promised for months now. ,0,0,0,0
@truexstoryyyyy Ugh! This kid is hungry too!  Haha,0,0,0,0
@iiamsliim it's aite so far but I'm still homesick ,0,0,0,0
Super hungry. ,0,0,0,1
@4everBrandy Looking forward to your show tonight! Enjoy your time in Belgium ,1,1,1,1
I'm uploading photos of my friends....but it doesn't work ,0,0,0,0
cba with school the morra ,0,0,0,0
"is I'm online, send me a message!  http://plurk.com/p/x5uzy",1,1,1,0
"@kathyireland TY!!! Going to try... Want to enjoy, party for Tyler, expecting about 200...running on adrenaline...U must understand ",1,1,0,1
@LanzyJ Hi precious! I really want Poh to fuck off but I don't care if it's Geni either. Not Andre though ,0,0,0,0
Went to a big street festival to sell my wares today and it RAINED ALL DAY!!  But made a little $$ still so it's OK. Time for drinks!,0,1,1,0
"25 years of Tetris! I've still got my NES cartridge about somewhere, might dust it off later ",1,1,1,0
"1,I'll miss you  &amp; Carrie 2,legally double your money in 30 days! http://bit.ly/RkHZZh",0,0,0,0
http://bit.ly/rMW0d  - is THE funniest video i have seen in a very long time - side splitting really ,1,0,1,1
"I woke up early again today... Im kinda happy!  I walk the kids to school today,and that is what made me very happy ",1,1,1,0
This is my day so far   http://twitpic.com/6e5vx,1,1,1,1
Good morning twitter people! ,1,1,1,1
drawing out different designs for @Webitect's Wordpress theme design contest ,1,1,0,0
I'm trying not 2 let my tattoo touch the pillow it isn't working so I'm looking 4ward 2 a beautiful inked design when I wake ,0,0,1,0
Is in hard rock with greg and @nathanbrookman good times! ,1,1,1,1
&quot;Can youu tell me how a perfect love goes wrong..&quot; ,0,1,1,0
#Invisalign gives me dry mouth. ,0,1,1,0
"@J_P6 Well, they changed them again today. CPW actually has 'order now'...do i dont i ",0,0,0,0
"Setting up Twitter and Wordpress for The Daily Tankard project, no booze to be found ",0,1,1,0
hey tweetsz whatz up? ,1,1,1,0
Toote siaham bod ,1,1,1,1
Bored.. Dont feel good layin down ,0,0,0,0
gonna be at church office for a lot longer... photocopying next months news letter as the office person is away... fun ,1,0,0,0
Grreeeaaaat.  Now I am going to have to give plasma tommrow. Oops ,0,1,1,0
@WizeCrack I am  unless u make me reeeeal mad! lol,1,0,0,0
Going to see 17 again! ,1,1,1,1
Is getting some Sonic  . .. YUMMY!!! ,1,1,1,1
@SaraVegas   Sad   Didn't get my Twithug :*,0,0,0,0
"Andrew's head hurts  Going to watch True Blood, then head to bed.",0,0,0,0
"@cryslewis Haha! Awesome! I wish you luck, young positivity grasshopper ... ",1,1,1,1
@dougiemcfly Good luck tonight! u'll rock as usual ,1,1,1,1
"My head is spinning from counting so many notes, waah. I wish I had ï¿½1900 in cash rn ",0,0,0,0
@carol_phillips mexican rose or red mexican ? also a restaurant chain ,1,1,1,1
@MissGoogle I always wanna to talk just afraid to be boring ,1,0,0,0
"Damnn,, im hellla wanting some sno funn  fckn de-lame-o is soo farr outt",0,0,0,0
@Markakleive Thanks for the follow. Absolutely hate teeth and graduated to looking at implants after 2 failed upper bridges 1 year old ,0,0,1,0
Happy Mothers Day to Heidi Klum ,1,1,1,1
Come on in people....http://www.clothpadshop.com/  you just know you want to check it out for fabulous cloth pads ,1,0,0,0
I miss The Hills! ,0,0,0,0
Ok... time for a little cleaning room. Btw... i must buy twister! ,1,1,1,0
"I'm a bit tired this morning. Feel good for going to the gym last night tho. Not that I did much after, but it relaxed me. ",1,0,0,0
@garybc i'm so gonna watch that when it opens here!  hehe.,1,1,1,0
going to bed with a smile on my face ,1,1,1,0
"Feelin sorry for my diabetic hubby who is snacking on peanut butter, a giant carrot and a super small glass of non-fat milk ",0,1,0,0
@cookleta heyy ian..have a gud nite  sleep tite byee,1,1,1,0
 but not with Karen anymore,0,0,0,0
given up on studying history and going to sleep. hopefully my jaw will unlock ,0,0,0,0
off to starbucks to do some work ,1,0,0,0
@azandiaMJBB Thanks. And yes this song is for those who have suffered loss and for survivors! ,1,1,1,1
Mexico anyone??? I think so on my way to the airport  wish me luck!,1,0,0,1
@vanessatweets  i wanna do something other than uni work! 30 rock is now keeping me sane. i think i love tina fey more then most people!!!,0,1,1,1
is bound to Manila fbom Sagada..  Sagada is really quite an experience.. Really your total extreme adventur... http://plurk.com/p/riect,1,0,0,0
@EmilyOsment it would be absolutely amazing if you replied  xx,1,1,1,1
bell center for game 3 tonight !! ,1,1,1,1
spring is nice  will apply to first place that has outdoor office facilities,1,1,1,0
@EdibleVancouver I just read your 'Letter from the Editor' and the magazine is ALWAYS a delight! Keep it up ,1,0,1,0
@iamjonathancook Hey wanna follow me? Haha ,1,1,1,1
Taking the T To fenway ,1,1,1,1
sitting at home fixing to bath and go to bed gotta work tomorrow morning!!!!!!!!!!! ,0,0,0,0
@destinee_rae Haha lol. Im feelin much better. And great2knw u were tweeting...in the library?! lol. well hope u get ur work done.  thanks,1,1,1,0
my computer is acting weird and now its deleting all my files today is not gonna be a good day ,0,1,1,0
"@DENISE_RICHARDS one day i saw Denise at coldwater park , u were beautfull!!!!!!! with with dress and lola with u , i hope see u again ",1,1,1,1
I'M WORKING ON IT!!! (MY FINAL)  ,0,0,0,1
@Mikespencer1 Have a drink (or 5) for me today  i'm sat at home feeling sorry for myself... hoping i will feel better tomorrow!,0,0,0,0
cant believe how fast the weekend went ,0,0,0,0
@camera_obscura Will probably blog later or upload pics to Facebook ,1,1,1,0
"@KandyChazer the car is the token, the railroad can be any of the four on the board and the hotel can be on any property. Hope that helps ",1,0,0,1
"This weekend was lame, all I did was work and do homework. ",0,0,0,0
@EMcDub That would be @finallevel ,1,1,1,1
@LaurenFreck08 Go to Riga - that is a really cool place to stay! Im will be there in November ,1,1,1,1
i really shouldnt read twitter during award shows that have already aired on the east coast!  oh well still like watching the performances,0,0,0,0
ATL come hang out at Ultimate Bar &amp; Grill 2nite!! DJ DRAMA n the building rockn the house  I'm writn a new blog my fav one so far!,1,1,1,1
@dinsan yea... @kenneyjacob has your host gone for lunch? cuz your site is down... ,1,0,0,0
looks SOOOO Weird now... i'm totally going back to my natural color.... ,0,1,1,0
@raouldejongh @MybrandedlifeTM @nickjackson @jontyfisher Ok well come to the next #27dinner &amp; ask the #vitaminwater guys? As will I ,1,1,1,1
Pissed my friend is bailing on me this weekend. ,0,0,1,0
still has no computer... ,0,0,0,0
@damohopo I've shouted at Bruno today! Hes a very naughty boy ,0,1,1,0
Peeing a river! Ahh my best game of beer pong ,1,1,1,1
@gdiaz1435 n thanks for caring  nobody has really said anything or asked other than jessy,1,0,1,0
@solitarybelle omg - I'm seeing Pink too! June 13. ,1,0,1,1
@AshleyGofficial aww dont cry ashley ,0,0,0,0
Thankful that myspace classifieds is free... ,1,1,1,1
@SplashTurnTwist Well least it's not hand measles! You got physics in the morning? ,0,1,1,0
Good mornin' pips! ,1,1,1,1
@BarbaraBentley I am looking forwrd to it! ,1,1,1,0
just want to say hello to all my followers ,1,1,1,1
being upset ,0,0,0,1
@NCIRL thanks for the add! ,1,1,1,1
need holiday.. ,1,0,0,0
@MissDibbs unless of course it's not your face &amp; the owner of that face is threatening to sue you.  @MisterNoodle @LoriMoreno,1,1,1,0
Going to make the most of it! ,1,1,0,1
@mizzlalabaybii @KEWSBOOGIE im just so lonely right now. maybe SADE GOT ME FEELING LIKE THIS ,0,0,0,0
@DonnieWahlberg you are very sweet to post that for your Aussie fans!  ,1,1,1,1
Haha yet another one!!!  I'm really on a roll with this game!!,1,0,1,1
@pinkbunny69 nope no news on london  xx,0,1,0,1
Afternoon twitter Family ,1,1,1,1
"Foram sï¿½ 2 min, mas ainda entrei na Pull and Bear Outlet ",1,1,1,0
going to my aunts 35th birthday later  i love her to death &lt;3,1,1,1,1
TGIF!!! But also sad that this is last day I get to work with my favorite TV reporter ,0,0,0,0
@torischneebaum I have 103 fever ,0,0,0,0
@trixie360 @PlanetXbox360 @FragDolls @majornelson Great press conf!  Some nice &amp; unexpected announcements!  ,1,1,1,1
@whittneyraye aawwwww thank you  i just blushed///,1,1,1,0
"Woke up sick. Missed out on outing today so not very happy about that.  Whoever brought up the flu in humanity, I hope you burn and die.",0,0,0,0
in love with my boyfriend. he surprised the hell out of me today. (:*  oh babyyy!&lt;3 miss him so much. ,0,0,0,0
ugh 2 more hours of meat and fish work ,0,0,0,0
@lindalhall I can't do without my early morning quiet time.  ,1,0,0,0
@Star_cullen  me 2 ,0,1,1,1
"@twinkle47 i am tryin to improve my will power.its been there since thursday and not touched,lol ",1,0,0,0
@wuzzyangel You never answered your DM I sent you....   I need your info...,0,0,1,0
Loving http://ohmyscience.org/ - replace 'God' with 'Science'. Praise Science! Science help us! ,1,0,1,0
@ronld Its friday ,1,1,1,1
"is going to bed, working 7-4 then going boating with the boys ",1,0,0,0
"@kendalynne I tried doing character pictures for a few of my stories, but I still can't find the right ones ",0,0,0,0
Where have the lovely ladies of @Briclyn_Ent been lately? ,0,1,1,0
The hayfever pills don't seem to be working anymore ,0,0,0,0
@ktbeeper thanks  that'll be nice ,1,1,1,1
"http://twitpic.com/4wfdp - Its been such a long time i havent gotten a moskito bit, why now!??!? ",0,0,0,0
"and i can't wait for that to happen... soon, very soon... ",1,0,0,0
Follow me and I will Follow YOU xox ,1,1,1,1
just got homeee. need to revise  me and charley just recorded our phone call. sooo cool ,1,0,1,0
not really feelin it today ,0,1,0,0
@fun_razor Thanks for the #followfriday . Really good of you ,1,1,1,1
"I will pray for them, I know that 2 of them are from my city ",0,1,1,0
@blissmanu I started at 15:50 and reached the finish line around 2:08 later. Quite proud of myself I must say! ,1,1,1,1
It makes me so sad that I lost so many followers today!!!   gosh..maybe I'm taking this twitter thing too seriously. ;) LOL,0,0,0,0
@docbaty hey dude! my back is off to a cracking start  the rest is great! you?,0,1,1,1
...I bet I won't be able to move in the morning  ah well that's what pain killers are for! Http://the-port.co.uk,0,0,0,0
"@Hatz94 yeah, it won't let me change my profile pic either. ",0,1,0,0
"@CathyBrowne When people ask me why anyone would use Twitter, I just stare, dumbfounded. It's for learning where you should eat, duh! ",1,1,1,0
It's too cold and gray for a summer day. ,0,0,0,1
@officialTila  I'm in desperate need of love now a days ,0,1,1,0
"@HarrietKZJones Can't wear a jumper to a black tie event  I have a cardigan, that's it...",0,0,0,0
@mileycyrus and also my boss is letting me come home early just so i cant get my tickets!! good thing i work on a farm with a cool boss! ,1,0,0,0
@weeniebean and @hisyamkhalid is gonna leave soon too! Don't leave me ,0,0,0,0
www.iphone-bulgaria.com just posted a great review for Chippy ,1,1,1,1
@shellistevens The No Pudge brand? That's sad! ,0,0,0,0
@deliaheartsyou i hope so la. but it's not confirmed sadly ,0,0,0,1
@Altivo You and I are CLEARLY not marketing ourselves.  Luddites?    I block LOTS of people who want to follow my tweets.  MYOB ppl!,1,1,0,0
Aw I LOVE the sunday staff! Had such a funny day  havin a bbq with the fam now x,1,1,1,0
@fallenfrommars hehe  oh ok.. i will check them out ;),1,1,1,0
is going to bed now!! I Am soooo tired and my neck is soooo sore still!! ,0,0,0,0
"ok kids, i gotta hit the sack. TIRED. Go WINGS .. Wait, YAH WINGS! ",1,1,0,0
